tsaEligible,damagedStateAbbreviation,residenceType,grossIncome,repairAmount,destroyed,waterLevel
1,PR,House/Duplex,12264.0,8791.36,0,0.0
0,FL,House/Duplex,161000.0,,0,
0,FL,House/Duplex,127000.0,,0,
0,FL,Mobile Home,13529.0,,0,
0,LA,House/Duplex,19376.0,,0,0.0
0,FL,House/Duplex,37500.0,,0,0.0
1,TX,House/Duplex,30000.0,7770.02,0,6.0
0,NC,Mobile Home,18000.0,,0,0.0
1,FL,Travel Trailer,,,0,0.0
1,PR,Apartment,5000.0,,0,0.0
0,FL,House/Duplex,18000.0,,0,0.0
0,TX,Travel Trailer,,,0,0.0
0,FL,Mobile Home,,,0,
0,LA,Mobile Home,1400.0,,0,0.0
1,FL,House/Duplex,14000.0,,0,0.0
1,PR,Apartment,24000.0,,0,0.0
0,FL,House/Duplex,39585.0,,0,0.0
0,TX,Apartment,35000.0,,0,
1,PR,House/Duplex,1230.0,,0,0.0
1,PR,House/Duplex,15000.0,,0,
0,LA,Apartment,38400.0,,0,0.0
1,FL,Other,,,0,
1,PR,House/Duplex,78000.0,,0,0.0
1,LA,Apartment,33600.0,,0,0.0
1,FL,House/Duplex,,,0,0.0
0,TX,Townhouse,21000.0,,0,
0,FL,House/Duplex,50000.0,,0,0.0
0,TX,Apartment,48000.0,,0,0.0
1,FL,House/Duplex,22800.0,,0,0.0
1,PR,Other,19000.0,,0,
0,LA,House/Duplex,45000.0,,0,
0,TX,Apartment,36000.0,,0,
0,FL,House/Duplex,,,0,0.0
0,LA,House/Duplex,45000.0,,0,
1,FL,Condo,19200.0,,0,
0,TX,House/Duplex,58000.0,,0,
1,FL,House/Duplex,15000.0,2665.0,0,1.0
1,FL,House/Duplex,25000.0,,0,
0,TX,House/Duplex,24320.0,,0,0.0
0,FL,Apartment,,,0,0.0
0,LA,Mobile Home,12000.0,,0,0.0
0,FL,House/Duplex,22354.0,,0,0.0
1,FL,Condo,36400.0,,0,0.0
0,FL,House/Duplex,44000.0,,0,0.0
0,TX,House/Duplex,26430.0,,0,0.0
0,FL,Apartment,20000.0,,0,0.0
1,FL,Other,,,0,
0,TX,House/Duplex,103000.0,,0,0.0
1,PR,Townhouse,43680.0,,0,
0,TX,House/Duplex,45000.0,,0,
1,PR,Townhouse,22000.0,5330.29,0,0.0
0,TX,House/Duplex,40000.0,,0,
0,TX,Townhouse,96000.0,,0,
0,LA,House/Duplex,53000.0,,0,0.0
0,LA,Mobile Home,51516.0,,0,
0,TX,House/Duplex,98900.0,,0,
0,TX,Mobile Home,25000.0,,0,0.0
